Catch Date,,Station,Fish ID,Rings,Edgecode,Age,Fractional Age,Weight (kg),Fork Length (cm)
7/13/12,2012,21,27,3,4,3,3.6,0.792,34
7/9/12,2012,28,81,3,2,3,3.6,0.8,35
6/23/12,2012,33,28,3,4,3,3.6,0.872,36
6/18/12,2012,36,48,3,4,3,3.5,0.876,37
6/18/12,2012,36,31,3,4,3,3.5,0.962,38
7/8/12,2012,80,34,3,4,3,3.6,0.962,38
7/8/12,2012,80,44,3,4,3,3.6,1,39
6/23/12,2012,33,8,3,4,3,3.6,1.016,39
7/8/12,2012,80,28,3,4,3,3.6,1.034,40
7/8/12,2012,80,48,4,4,4,4.6,1.284,40
6/20/12,2012,52,62,3,4,3,3.5,1.006,41
7/13/12,2012,21,7,5,2,5,5.6,1.22,41
7/23/12,2012,15,20,5,4,5,5.7,1.138,42
6/23/12,2012,33,11,3,4,3,3.6,1.256,42
7/9/12,2012,28,66,4,2,4,4.6,1.235,43
7/9/12,2012,28,52,5,2,5,5.6,1.32,43
6/18/12,2012,36,43,3,4,3,3.5,1.566,44
6/23/12,2012,33,12,4,4,4,4.6,1.465,45
6/18/12,2012,36,46,4,4,4,4.5,1.524,45
7/13/12,2012,21,13,4,2,4,4.6,1.554,45
8/19/12,2012,WBSL840,11,5,4,5,5.7,1.7,45
6/18/12,2012,36,45,3,4,3,3.5,1.798,45
6/20/12,2012,52,52,4,4,4,4.5,1.646,46
6/18/12,2012,36,27,3,4,3,3.5,1.648,46
6/23/12,2012,34,87,5,4,5,5.5,1.884,46
8/16/12,2012,WBSL1040,24,5,4,5,5.7,2,46
6/18/12,2012,36,33,3,4,3,3.5,1.618,47
7/22/12,2012,14,7,6,2,6,6.7,1.644,47
7/8/12,2012,80,38,4,4,4,4.6,1.676,47
7/9/12,2012,28,82,6,2,6,6.6,1.765,47
6/18/12,2012,36,37,4,4,4,4.5,1.806,47
6/20/12,2012,52,33,5,2,5,5.5,1.84,47
6/23/12,2012,34,62,3,4,3,3.6,1.846,47
7/9/12,2012,28,8,5,2,5,5.6,1.862,47
8/16/12,2012,WBSL1040,74,4,4,4,4.7,2,47
8/19/12,2012,WBSL840,10,5,4,5,5.7,2,47
6/18/12,2012,36,41,4,4,4,4.5,2.112,47
7/9/12,2012,28,76,5,2,5,5.6,1.87,48
7/13/12,2012,21,12,6,4,6,6.6,1.93,48
6/23/12,2012,33,17,4,4,4,4.6,2.028,48
7/13/12,2012,21,8,6,2,6,6.6,1.716,49
7/8/12,2012,80,36,6,4,6,6.6,1.98,49
6/17/12,2012,59,26,5,2,5,5.5,2.066,49
7/8/12,2012,80,35,6,4,6,6.6,2.13,49
7/13/12,2012,21,5,6,2,6,6.6,1.812,50
6/20/12,2012,52,63,4,4,4,4.5,1.832,50
8/16/12,2012,WBSL1040,14,5,4,5,5.7,1.94,50
6/20/12,2012,52,42,4,4,4,4.5,1.984,50
7/9/12,2012,28,83,5,2,5,5.6,2,50
7/9/12,2012,28,21,5,4,5,5.6,2.125,50
